"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","372","942","240","30","326","Sinistral"
"2","575","921","196","28","352","Dextral"
"3","188","885","79","21","2","Dextral"
"4","818","875","121","24","357","Sinistral"
"5","372","755","126","25","15","Dextral"
"6","872","667","186","28","1","Dextral"
"7","598","621","162","27","20","Dextral"
"8","154","587","150","26","359","Sinistral"
"9","795","467","193","28","353","Sinistral"
"10","294","466","182","28","7","Sinistral"
"11","535","445","175","27","38","Sinistral"
"12","41","370","104","23","13","Sinistral"
"13","903","329","83","22","354","Dextral"
"14","225","283","189","28","9","Dextral"
"15","708","254","145","26","14","Dextral"
"16","364","174","148","26","2","Sinistral"
"17","118","131","186","28","22","Dextral"
"18","848","85","166","27","355","Sinistral"
"19","659","64","204","28","340","Sinistral"
"20","481","28","210","29","0","Dextral"
