"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","69","858","183","28","34","Dextral"
"2","251","813","142","26","10","Sinistral"
"3","528","812","142","26","359","Dextral"
"4","733","771","113","24","3","Dextral"
"5","942","724","178","27","356","Sinistral"
"6","359","659","201","28","352","Sinistral"
"7","175","637","185","28","357","Sinistral"
"8","756","588","133","25","349","Sinistral"
"9","525","475","170","27","354","Sinistral"
"10","943","398","142","26","5","Sinistral"
"11","738","397","170","27","348","Dextral"
"12","312","369","154","26","23","Dextral"
"13","136","325","106","23","6","Sinistral"
"14","634","244","191","28","357","Sinistral"
"15","443","224","136","25","3","Dextral"
"16","822","211","233","29","336","Dextral"
"17","563","75","194","28","20","Dextral"
"18","127","75","145","26","19","Dextral"
"19","328","67","201","28","349","Sinistral"
"20","939","56","121","24","8","Dextral"
