"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","752","926","141","26","329","Sinistral"
"2","117","914","248","30","3","Dextral"
"3","311","910","147","26","2","Dextral"
"4","549","840","201","28","338","Dextral"
"5","176","728","156","26","355","Dextral"
"6","926","703","133","25","345","Dextral"
"7","631","663","120","24","356","Sinistral"
"8","352","657","182","28","342","Sinistral"
"9","83","500","204","28","9","Sinistral"
"10","439","483","181","28","12","Dextral"
"11","664","467","153","26","6","Sinistral"
"12","224","382","191","28","359","Sinistral"
"13","885","359","168","27","10","Dextral"
"14","697","271","127","25","359","Sinistral"
"15","425","261","168","27","354","Dextral"
"16","27","253","178","27","347","Dextral"
"17","815","130","136","25","337","Dextral"
"18","156","112","135","25","359","Dextral"
"19","395","78","209","29","16","Sinistral"
"20","642","31","195","28","351","Sinistral"
