"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","187","943","139","26","3","Sinistral"
"2","947","911","179","27","340","Sinistral"
"3","748","886","87","22","3","Dextral"
"4","408","807","127","25","15","Sinistral"
"5","44","802","203","28","358","Sinistral"
"6","624","728","161","27","343","Sinistral"
"7","254","693","201","28","10","Sinistral"
"8","949","663","160","27","356","Sinistral"
"9","30","584","154","26","358","Sinistral"
"10","430","557","138","25","339","Sinistral"
"11","725","546","103","23","16","Dextral"
"12","237","464","223","29","338","Sinistral"
"13","897","375","132","25","347","Sinistral"
"14","692","369","118","24","337","Sinistral"
"15","489","341","155","26","330","Sinistral"
"16","172","292","148","26","20","Dextral"
"17","304","160","160","27","25","Dextral"
"18","623","80","117","24","4","Sinistral"
"19","104","67","120","24","11","Sinistral"
"20","920","33","152","26","4","Dextral"
