"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","218","936","186","28","331","Dextral"
"2","892","901","220","29","16","Dextral"
"3","566","895","144","26","353","Sinistral"
"4","255","759","197","28","340","Dextral"
"5","448","748","156","26","0","Sinistral"
"6","903","715","187","28","354","Dextral"
"7","645","705","158","26","16","Sinistral"
"8","89","669","143","26","352","Sinistral"
"9","781","566","112","24","11","Dextral"
"10","498","506","161","27","27","Dextral"
"11","206","444","118","24","16","Dextral"
"12","39","376","188","28","1","Dextral"
"13","809","375","159","27","15","Sinistral"
"14","536","304","133","25","345","Sinistral"
"15","311","292","229","29","350","Sinistral"
"16","936","208","224","29","357","Sinistral"
"17","133","155","155","26","347","Sinistral"
"18","574","113","129","25","3","Sinistral"
"19","307","104","140","26","353","Sinistral"
"20","890","34","167","27","1","Sinistral"
