"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","460","948","184","28","13","Dextral"
"2","791","896","159","27","8","Sinistral"
"3","96","880","110","24","8","Sinistral"
"4","347","781","139","26","13","Sinistral"
"5","579","777","118","24","24","Sinistral"
"6","892","681","156","26","359","Dextral"
"7","67","621","143","26","1","Dextral"
"8","254","575","148","26","354","Dextral"
"9","582","510","104","23","353","Dextral"
"10","792","486","153","26","350","Dextral"
"11","411","412","204","28","342","Dextral"
"12","63","371","173","27","13","Sinistral"
"13","255","320","195","28","30","Sinistral"
"14","566","312","142","26","3","Dextral"
"15","833","262","123","25","343","Dextral"
"16","152","167","148","26","354","Sinistral"
"17","317","105","171","27","360","Sinistral"
"18","839","79","180","27","353","Dextral"
"19","577","70","139","26","31","Dextral"
"20","35","26","205","28","357","Sinistral"
