"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","582","948","173","27","17","Dextral"
"2","36","919","161","27","2","Dextral"
"3","322","813","147","26","358","Dextral"
"4","701","806","169","27","24","Sinistral"
"5","938","801","144","26","342","Sinistral"
"6","495","784","144","26","2","Dextral"
"7","131","739","170","27","356","Dextral"
"8","297","595","194","28","13","Dextral"
"9","746","546","154","26","2","Sinistral"
"10","102","540","207","29","0","Dextral"
"11","545","444","168","27","7","Sinistral"
"12","274","407","141","26","17","Sinistral"
"13","926","400","141","26","9","Dextral"
"14","712","327","157","26","348","Sinistral"
"15","178","251","119","24","355","Dextral"
"16","889","226","172","27","4","Dextral"
"17","339","172","134","25","338","Dextral"
"18","628","102","155","26","356","Sinistral"
"19","797","50","163","27","6","Sinistral"
"20","115","31","227","29","357","Sinistral"
