"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","318","916","115","24","7","Sinistral"
"2","72","900","169","27","359","Dextral"
"3","731","890","176","27","346","Dextral"
"4","503","756","175","27","8","Sinistral"
"5","949","731","111","24","5","Dextral"
"6","162","719","164","27","349","Dextral"
"7","302","580","178","27","19","Sinistral"
"8","488","574","178","27","11","Dextral"
"9","721","544","123","25","11","Sinistral"
"10","64","530","121","24","7","Sinistral"
"11","934","521","167","27","354","Dextral"
"12","285","367","112","24","9","Dextral"
"13","482","354","98","23","1","Dextral"
"14","774","320","176","27","355","Dextral"
"15","132","239","143","26","26","Dextral"
"16","850","140","139","26","349","Dextral"
"17","251","110","141","26","349","Sinistral"
"18","443","98","176","27","9","Dextral"
"19","616","54","220","29","356","Dextral"
"20","48","33","179","27","24","Dextral"
