"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","265","942","165","27","335","Dextral"
"2","867","902","176","27","349","Dextral"
"3","689","867","207","29","355","Sinistral"
"4","87","843","164","27","8","Sinistral"
"5","521","780","183","28","10","Sinistral"
"6","834","726","170","27","2","Sinistral"
"7","61","649","198","28","7","Sinistral"
"8","636","634","159","27","357","Sinistral"
"9","263","552","157","26","9","Dextral"
"10","833","496","160","27","35","Sinistral"
"11","456","476","169","27","353","Sinistral"
"12","91","445","171","27","17","Sinistral"
"13","656","313","187","28","339","Sinistral"
"14","226","267","165","27","341","Dextral"
"15","53","203","211","29","1","Dextral"
"16","526","190","220","29","6","Sinistral"
"17","935","151","100","23","4","Dextral"
"18","690","117","143","26","347","Sinistral"
"19","360","96","159","27","1","Dextral"
"20","161","26","195","28","347","Dextral"
