"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","781","939","180","28","1","Sinistral"
"2","50","927","217","29","7","Dextral"
"3","240","892","152","26","12","Sinistral"
"4","426","866","203","28","10","Sinistral"
"5","630","754","168","27","28","Dextral"
"6","305","713","134","25","11","Sinistral"
"7","35","694","168","27","337","Sinistral"
"8","917","680","198","28","340","Sinistral"
"9","634","556","148","26","354","Dextral"
"10","234","517","159","27","16","Dextral"
"11","27","500","224","29","2","Sinistral"
"12","465","475","121","24","356","Sinistral"
"13","818","454","164","27","356","Sinistral"
"14","268","340","188","28","352","Dextral"
"15","937","288","212","29","342","Dextral"
"16","99","230","208","29","3","Dextral"
"17","637","190","199","28","8","Sinistral"
"18","496","87","132","25","15","Sinistral"
"19","810","69","151","26","345","Sinistral"
"20","97","53","170","27","348","Dextral"
