"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","175","943","80","21","214","Sinistral"
"2","61","942","37","15","146","Sinistral"
"3","919","904","156","26","50","Sinistral"
"4","519","843","153","26","312","Sinistral"
"5","381","751","171","27","177","Dextral"
"6","493","724","92","22","105","Dextral"
"7","90","665","69","20","107","Dextral"
"8","526","605","164","27","306","Sinistral"
"9","358","567","89","22","190","Sinistral"
"10","365","536","97","23","54","Dextral"
"11","707","505","64","20","277","Dextral"
"12","437","502","102","23","145","Sinistral"
"13","429","467","31","14","163","Sinistral"
"14","401","422","111","24","194","Sinistral"
"15","940","413","81","21","137","Sinistral"
"16","472","404","47","17","112","Sinistral"
"17","919","293","50","18","152","Dextral"
"18","557","274","41","16","167","Dextral"
"19","283","233","115","24","143","Sinistral"
"20","135","61","180","27","340","Dextral"
