"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","455","838","135","25","73","Dextral"
"2","192","800","177","27","2","Dextral"
"3","155","774","133","25","100","Dextral"
"4","643","687","70","20","23","Dextral"
"5","703","672","143","26","280","Sinistral"
"6","288","644","174","27","66","Sinistral"
"7","149","619","108","24","62","Sinistral"
"8","605","602","39","16","152","Sinistral"
"9","367","574","166","27","13","Sinistral"
"10","77","488","101","23","208","Dextral"
"11","320","396","106","23","228","Sinistral"
"12","93","354","178","27","131","Sinistral"
"13","720","284","96","23","242","Sinistral"
"14","538","247","164","27","189","Dextral"
"15","562","149","125","25","126","Sinistral"
"16","110","87","86","22","202","Dextral"
"17","635","84","33","15","58","Sinistral"
"18","247","83","101","23","60","Sinistral"
"19","741","81","249","30","28","Sinistral"
"20","701","70","201","28","168","Sinistral"
