"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","633","937","128","25","128","Dextral"
"2","456","894","150","26","259","Dextral"
"3","777","890","100","23","46","Sinistral"
"4","524","846","167","27","131","Dextral"
"5","327","824","186","28","130","Sinistral"
"6","923","821","173","27","126","Dextral"
"7","829","792","96","23","3","Sinistral"
"8","162","678","167","27","12","Sinistral"
"9","601","654","238","30","120","Dextral"
"10","182","649","111","24","114","Dextral"
"11","829","624","212","29","67","Dextral"
"12","43","606","195","28","227","Sinistral"
"13","849","557","196","28","189","Sinistral"
"14","796","513","116","24","289","Sinistral"
"15","454","394","127","25","315","Sinistral"
"16","520","166","135","25","129","Sinistral"
"17","335","161","171","27","248","Sinistral"
"18","315","93","102","23","310","Dextral"
"19","412","84","58","19","177","Dextral"
"20","246","30","119","24","77","Dextral"
