"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","863","911","149","26","51","Sinistral"
"2","670","859","135","25","229","Sinistral"
"3","438","851","110","24","15","Sinistral"
"4","207","736","158","27","277","Sinistral"
"5","944","735","196","28","90","Dextral"
"6","865","626","156","26","71","Sinistral"
"7","545","606","126","25","284","Sinistral"
"8","302","515","160","27","77","Sinistral"
"9","651","513","152","26","254","Dextral"
"10","145","500","151","26","279","Dextral"
"11","488","478","149","26","49","Dextral"
"12","144","437","144","26","101","Dextral"
"13","367","343","126","25","313","Dextral"
"14","812","334","247","30","296","Dextral"
"15","52","327","154","26","260","Sinistral"
"16","379","315","97","23","191","Dextral"
"17","399","253","103","23","286","Sinistral"
"18","485","225","157","26","298","Dextral"
"19","98","206","175","27","89","Sinistral"
"20","897","144","226","29","306","Dextral"
