"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","230","923","103","23","252","Dextral"
"2","636","921","141","26","326","Sinistral"
"3","191","869","128","25","164","Sinistral"
"4","525","859","161","27","288","Dextral"
"5","554","856","90","22","285","Sinistral"
"6","43","823","138","25","245","Dextral"
"7","399","734","115","24","212","Sinistral"
"8","465","687","141","26","96","Sinistral"
"9","531","566","123","25","201","Dextral"
"10","30","545","133","25","268","Dextral"
"11","884","532","110","24","113","Dextral"
"12","275","410","166","27","349","Sinistral"
"13","947","384","123","25","279","Dextral"
"14","696","379","160","27","93","Dextral"
"15","912","331","132","25","272","Sinistral"
"16","238","307","69","20","324","Dextral"
"17","948","265","105","23","85","Sinistral"
"18","256","175","152","26","129","Sinistral"
"19","311","145","154","26","344","Dextral"
"20","603","80","160","27","88","Sinistral"
