"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","334","921","118","24","299","Dextral"
"2","712","907","137","25","12","Sinistral"
"3","870","896","145","26","283","Dextral"
"4","850","889","116","24","103","Sinistral"
"5","107","883","28","13","205","Sinistral"
"6","63","868","71","20","22","Dextral"
"7","562","682","57","19","250","Sinistral"
"8","319","670","191","28","88","Sinistral"
"9","234","601","155","26","165","Sinistral"
"10","645","532","143","26","52","Dextral"
"11","26","469","105","23","130","Dextral"
"12","553","420","177","27","312","Dextral"
"13","257","307","69","20","33","Dextral"
"14","196","300","144","26","323","Dextral"
"15","493","257","107","23","128","Dextral"
"16","315","166","210","29","189","Sinistral"
"17","596","135","102","23","122","Dextral"
"18","814","119","99","23","135","Sinistral"
"19","564","89","150","26","278","Sinistral"
"20","138","54","125","25","353","Sinistral"
