"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","571","896","137","25","240","Sinistral"
"2","623","894","89","22","195","Sinistral"
"3","223","871","76","21","290","Sinistral"
"4","309","784","107","23","240","Dextral"
"5","298","729","104","23","252","Dextral"
"6","120","727","91","22","225","Dextral"
"7","159","648","186","28","165","Sinistral"
"8","932","597","138","25","179","Dextral"
"9","37","578","200","28","138","Sinistral"
"10","506","519","242","30","12","Sinistral"
"11","647","457","110","24","285","Dextral"
"12","514","442","112","24","195","Dextral"
"13","533","349","160","27","73","Sinistral"
"14","126","284","99","23","300","Sinistral"
"15","585","256","169","27","42","Sinistral"
"16","458","192","23","12","251","Dextral"
"17","733","156","128","25","60","Sinistral"
"18","349","80","130","25","333","Dextral"
"19","815","60","108","24","283","Sinistral"
"20","709","59","168","27","149","Dextral"
