"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","875","872","182","28","93","Sinistral"
"2","569","868","138","25","301","Dextral"
"3","939","820","211","29","85","Sinistral"
"4","417","745","166","27","344","Dextral"
"5","511","685","158","26","63","Sinistral"
"6","417","594","164","27","132","Sinistral"
"7","568","593","102","23","182","Sinistral"
"8","759","511","115","24","15","Dextral"
"9","406","460","151","26","109","Dextral"
"10","935","443","151","26","151","Dextral"
"11","90","369","68","20","3","Dextral"
"12","755","355","115","24","176","Dextral"
"13","726","337","94","23","11","Sinistral"
"14","692","224","104","23","223","Sinistral"
"15","297","198","103","23","216","Dextral"
"16","86","189","198","28","164","Sinistral"
"17","171","167","216","29","38","Dextral"
"18","276","160","171","27","208","Dextral"
"19","799","42","121","24","226","Sinistral"
"20","34","31","134","25","6","Dextral"
