"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","260","930","136","25","128","Sinistral"
"2","726","883","125","25","134","Sinistral"
"3","515","882","80","21","265","Sinistral"
"4","253","799","171","27","68","Dextral"
"5","772","794","114","24","290","Dextral"
"6","404","780","110","24","316","Sinistral"
"7","367","741","237","30","50","Dextral"
"8","97","712","149","26","169","Dextral"
"9","99","666","89","22","290","Sinistral"
"10","324","646","189","28","319","Sinistral"
"11","451","625","209","29","233","Dextral"
"12","124","569","24","12","69","Dextral"
"13","574","544","91","22","152","Sinistral"
"14","867","485","211","29","140","Dextral"
"15","570","227","80","21","144","Sinistral"
"16","627","212","125","25","23","Dextral"
"17","752","206","124","25","223","Sinistral"
"18","128","199","119","24","69","Dextral"
"19","420","151","71","20","205","Sinistral"
"20","519","35","201","28","338","Dextral"
