"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","677","896","112","24","332","Sinistral"
"2","701","688","125","25","124","Sinistral"
"3","404","605","195","28","187","Sinistral"
"4","710","599","154","26","302","Dextral"
"5","578","587","120","24","65","Dextral"
"6","141","553","96","23","194","Dextral"
"7","752","521","121","24","271","Sinistral"
"8","568","505","147","26","112","Sinistral"
"9","928","494","103","23","246","Sinistral"
"10","800","452","140","26","218","Sinistral"
"11","867","412","132","25","49","Sinistral"
"12","676","388","96","23","197","Dextral"
"13","155","387","137","25","14","Sinistral"
"14","154","320","118","24","83","Sinistral"
"15","672","266","136","25","131","Dextral"
"16","137","104","138","25","194","Sinistral"
"17","285","91","54","18","95","Sinistral"
"18","264","48","122","25","72","Sinistral"
"19","168","34","119","24","69","Sinistral"
"20","180","33","99","23","269","Dextral"
